id,abbr,name
488,S2,"secondary somatosensory cortex"
489,SCO,"subcommissural organ"
490,SCh,"suprachiasmatic nucleus"
491,SChDL,"suprachiasmatic nucleus, dorsolateral part"
492,SFO,"subfornical organ"
493,SFi,"septofimbrial nucleus"
494,SG,"suprageniculate thalamic nucleus"
495,SGe,"supragenual nucleus"
496,SHi,"septohippocampal nucleus"
497,SHy,"septohypothalamic nucleus"
498,SIB,"substantia innominata, basal part"
499,SLu,"stratum lucidum of the hippocampus"
500,SMV,"superior medullary velum"
501,SNC,"substantia nigra, compact part"
502,SNR,"substantia nigra, reticular part"
503,SO,"supraoptic nucleus"
504,SPF,"subparafascicular thalamic nucleus"
505,SPFPC,"subparafascicular thalamic nucleus, parvicellular part"
506,SPN,"superior periolivary nucleus"
507,SPTg,"subpeduncular tegmental nucleus"
508,SPa,"subparaventricular zone of the hypothalamus"
509,ST,"bed nucleus of the stria terminalis"
510,STIA,"bed nucleus of the stria terminalis, intraamygdaloid division"
511,STLI,"bed nucleus of the stria terminalis, lateral division, intermediate part"
512,STLP,"bed nucleus of the stria terminalis, lateral division, posterior part"
513,STLV,"bed nucleus of the stria terminalis, lateral division, ventral part"
514,STMA,"bed nucleus of the stria terminalis, medial division, anterior part"
515,STMP,"bed nucleus of the stria terminalis, medial division, posterior part"
516,STMV,"bed nucleus of the stria terminalis, medial division, ventral part"
517,STh,"subthalamic nucleus"
518,STr,"subiculum, transition area"
519,Sag,"sagulum nucleus"
520,Sc,"scaphoid thalamic nucleus"
521,Sca,"spherical cell area, ventral cochlear nucleus"
522,Sim,"simple lobule"
523,Sol,"nucleus of the solitary tract"
524,SolC,"nucleus of the solitary tract, commissural part"
525,Sp5C,"spinal trigeminal nucleus, caudal part"
526,Sp5I,"spinal trigeminal nucleus, interpolar part"
527,Sp5O,"spinal trigeminal nucleus, oral part"
528,SpVe,"spinal vestibular nucleus"
529,StA,"strial part of the preoptic area"
530,Su3,"supraoculomotor periaqueductal gray"
531,Su3C,"supraoculomotor cap"
532,Su5,"supratrigeminal nucleus"
533,SuG,"superficial gray layer of the superior colliculus"
534,SuML,"supramammillary nucleus, lateral part"
535,SuMM,"supramammillary nucleus, medial part"
536,SuVe,"superior vestibular nucleus"
537,Sub,"submedius thalamic nucleus"
538,SubB,"subbrachial nucleus"
539,SubCA,"subcoeruleus nucleus, alpha part"
540,SubCD,"subcoeruleus nucleus, dorsal part"
541,SubCV,"subcoeruleus nucleus, ventral part"
542,SubD,"submedius thalamic nucleus, dorsal part"
543,SubG,"subgeniculate nucleus"
544,SubI,"subincertal nucleus"
545,SubV,"submedius thalamic nucleus, ventral part"
546,TG,"tectal gray"
547,TS,"triangular septal nucleus"
548,Te,"terete hypothalamic nucleus"
549,TeA,"temporal association cortex"
550,Tu,"olfactory tubercle"
551,TuLH,"tuberal region of lateral hypothalamus"
552,V1,"primary visual cortex"
553,V1B,"primary visual cortex, binocular area"
554,V1M,"primary visual cortex, monocular area"
555,V2L,"secondary visual cortex, lateral area"
556,V2M,"secondary visual cortex, medial area"
557,VA,"ventral anterior thalamic nucleus"
558,VCA,"ventral cochlear nucleus, anterior part"
559,VCP,"ventral cochlear nucleus, posterior part"
560,VCl,"ventral part of claustrum"
561,VDB,"nucleus of the vertical limb of the diagonal band"
562,VEn,"ventral endopiriform nucleus"
563,VG,"ventral geniculate nucleus"
564,VGMC,"ventral geniculate nucleus, magnocellular part"
565,VGPC,"ventral geniculate nucleus, parvicellular part"
566,VL,"ventrolateral thalamic nucleus"
567,VLH,"ventrolateral hypothalamic nucleus"
568,VLPAG,"ventrolateral periaqueductal gray"
569,VLPO,"ventrolateral preoptic nucleus"
570,VLi,"ventral linear nucleus of the thalamus"
571,VM,"ventromedial thalamic nucleus"
572,VMH,"ventromedial hypothalamic nucleus"
573,VMHC,"ventromedial hypothalamic nucleus, central part"
574,VMHDM,"ventromedial hypothalamic nucleus, dorsomedial part"
575,VMHSh,"ventromedial nucleus of the hypothalamus shell"
576,VMHVL,"ventromedial hypothalamic nucleus, ventrolateral part"
577,VMPO,"ventromedial preoptic nucleus"
578,VNLL,"ventral nucleus of the lateral lemniscus"
579,VNTB,"ventral nucleus of the trapezoid body"
580,VO,"ventral orbital cortex"
581,VP,"ventral pallidum"
582,VPL,"ventral posterolateral thalamic nucleus"
583,VPM,"ventral posteromedial thalamic nucleus"
584,VPPC,"ventral posterior nucleus of the thalamus, parvicellular part"
585,VRe,"ventral reuniens thalamic nucleus"
586,VS,"ventral subiculum"
587,VTA,"ventral tegmental area"
588,VTAR,"ventral tegmental area, rostral part"
589,VTM,"ventral tuberomammillary nucleus"
590,VTT,"ventral tenia tecta"
591,VTg,"ventral tegmental nucleus"
592,VeCb,"vestibulocerebellar nucleus"
593,X,"nucleus X"
594,Xi,"xiphoid thalamic nucleus"
595,ZI,"zona incerta"
596,ZIC,"zona incerta, caudal part"
597,ZID,"zona incerta, dorsal part"
598,ZIR,"zona incerta, rostral part"
599,ZIV,"zona incerta, ventral part"
600,Zo,"zonal layer of the superior colliculus"
601,aca,"anterior commissure, anterior part"
602,aci,"anterior commissure, intrabulbar part"
603,acp,"anterior commissure, posterior part"
604,alv,"alveus of the hippocampus"
605,asc7,"ascending fibers of the facial nerve"
606,bic,"brachium of the inferior colliculus"
607,bsc,"brachium of the superior colliculus"
608,cc,"corpus callosum"
609,cg,"cingulum"
610,chp,"choroid plexus"
611,cic,"commissure of the inferior colliculus"
612,cll,"commissure of the lateral lemniscus"
613,cp,"cerebral peduncle"
614,csc,"commissure of the superior colliculus"
615,cst,"commissural stria terminalis"
616,cu,"cuneate fasciculus"
617,dVNLL,"ventral nucleus of the lateral lemniscus, dorsal part"
618,das,"dorsal acoustic stria"
619,dcs,"dorsal corticospinal tract"
620,dcw,"deep cerebral white matter"
621,df,"dorsal fornix"
622,dhc,"dorsal hippocampal commissure"
623,dlo,"dorsal lateral olfactory tract"
624,dsc,"dorsal spinocerebellar tract"
625,dtgx,"dorsal tegmental decussation"
626,ec,"external capsule"
627,eml,"external medullary lamina"
