abbreviation,structure,first_plate,last_plate,n_plates,bregma_anterior_mm,bregma_posterior_mm,systems,plates
AVPe,anteroventral periventricular nucleus,23,23,1,0.1,0.1,hypothalamus,23
AVVL,"anteroventral thalamic nucleus, ventrolateral part",26,27,2,-0.95,-1.3,thalamus,26 27
B,basal nucleus (Meynert),24,29,6,-0.25,-2.0,basal_forebrain,24 25 26 27 28 29
BAC,bed nucleus of the anterior commissure,24,24,1,-0.25,-0.25,basal_forebrain;fiber_tract,24
BAOT,bed nucleus of the accessory olfactory tract,27,27,1,-1.3,-1.3,amygdala;fiber_tract;olfactory,27
Bar,Barrington’s nucleus,43,44,2,-6.9,-7.25,brainstem,43 44
bic,brachium of the inferior colliculus,36,40,5,-4.45,-5.85,auditory;fiber_tract;midbrain,36 37 38 39 40
BIC,nucleus of the brachium of the inferior colliculus,36,37,2,-4.45,-4.8,auditory;midbrain,36 37
BLA,"basolateral amygdaloid nucleus, anterior part",25,29,5,-0.6,-2.0,amygdala,25 26 27 28 29
BLP,"basolateral amygdaloid nucleus, posterior part",27,32,6,-1.3,-3.05,amygdala,27 28 29 30 31 32
BLV,"basolateral amygdaloid nucleus, ventral part",25,27,3,-0.6,-1.3,amygdala,25 26 27
BMA,"basomedial amygdaloid nucleus, anterior part",25,27,3,-0.6,-1.3,amygdala,25 26 27
BMP,"basomedial amygdaloid nucleus, posterior part",28,31,4,-1.65,-2.7,amygdala,28 29 30 31
Bo,Bötzinger complex,52,52,1,-10.05,-10.05,brainstem,52
bsc,brachium of the superior colliculus,33,35,3,-3.4,-4.1,fiber_tract;midbrain;visual,33 34 35
BV,blood vessel,21,21,1,0.8,0.8,vascular;ventricular,21
CA1,field CA1 of the hippocampus,28,36,9,-1.65,-4.45,hippocampal,28 29 30 31 32 33 34 35 36
CA2,field CA2 of the hippocampus,28,32,5,-1.65,-3.05,hippocampal,28 29 30 31 32
CA3,field CA3 of the hippocampus,27,34,8,-1.3,-3.75,hippocampal,27 28 29 30 31 32 33 34
CAT,nucleus of the central acoustic tract,43,43,1,-6.9,-6.9,auditory;fiber_tract,43
CB,cell bridges of the ventral striatum,20,22,3,1.15,0.45,basal_forebrain;motor,20 21 22
cbw,cerebellar white matter,43,57,15,-6.9,-11.8,cerebellum;fiber_tract,43 44 45 46 47 48 49 50 51 52 53 54 55 56 57
CC,central canal,55,62,8,-11.1,-13.55,ventricular,55 56 57 58 59 60 61 62
cc,corpus callosum,20,30,11,1.15,-2.35,fiber_tract,20 21 22 23 24 25 26 27 28 29 30
CeC,"central amygdaloid nucleus, capsular part",26,29,4,-0.95,-2.0,amygdala,26 27 28 29
CeCv,central cervical nucleus of the spinal cord,56,62,7,-11.45,-13.55,brainstem,56 57 58 59 60 61 62
CeL,"central amygdaloid nucleus, lateral division",27,28,2,-1.3,-1.65,amygdala,27 28
CeM,"central amygdaloid nucleus, medial division",25,29,5,-0.6,-2.0,amygdala,25 26 27 28 29
CEnt,caudomedial entothinal cortex,35,41,7,-4.1,-6.2,cortex;hippocampal,35 36 37 38 39 40 41
CG,central gray,43,43,1,-6.9,-6.9,midbrain,43
cg,cingulum,17,34,18,2.2,-3.75,fiber_tract,17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34
Cg1,"cingulate cortex, area 1",10,27,18,4.65,-1.3,cortex,10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27
Cg2,"cingulate cortex, area 2",19,27,9,1.5,-1.3,cortex,19 20 21 22 23 24 25 26 27
CGA,"central gray, alpha part",44,46,3,-7.25,-7.95,brainstem,44 45 46
CGB,"central gray, beta part",44,45,2,-7.25,-7.6,brainstem,44 45
CGG,"central gray, gamma part",46,46,1,-7.95,-7.95,brainstem,46
CGO,"central gray, nucleus O",44,45,2,-7.25,-7.6,brainstem,44 45
CGPn,central gray of the pons,45,45,1,-7.6,-7.6,brainstem,45
chp,choroid plexus,24,54,31,-0.25,-10.75,ventricular,24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54
CIC,central nucleus of the inferior colliculus,39,42,4,-5.5,-6.55,auditory;midbrain,39 40 41 42
cic,commissure of the inferior colliculus,42,43,2,-6.55,-6.9,auditory;fiber_tract;midbrain,42 43
CL,centrolateral thalamic nucleus,28,31,4,-1.65,-2.7,thalamus,28 29 30 31
Cl,claustrum,12,27,16,3.95,-1.3,claustrum,12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27
CLi,caudal linear nucleus of the raphe,37,39,3,-4.8,-5.5,brainstem;monoaminergic,37 38 39
cll,commissure of the lateral lemniscus,41,42,2,-6.2,-6.55,auditory;fiber_tract,41 42
CM,central medial thalamic nucleus,26,31,6,-0.95,-2.7,thalamus,26 27 28 29 30 31
CnF,cuneiform nucleus,41,43,3,-6.2,-6.9,midbrain,41 42 43
Cop,copula of the pyramis,49,57,9,-9.0,-11.8,cerebellum,49 50 51 52 53 54 55 56 57
cp,cerebral peduncle,28,39,12,-1.65,-5.5,fiber_tract,28 29 30 31 32 33 34 35 36 37 38 39
CPO,caudal periolivary nucleus,48,48,1,-8.65,-8.65,auditory,48
CPu,caudate putamen (striatum),17,30,14,2.2,-2.35,motor,17 18 19 20 21 22 23 24 25 26 27 28 29 30
Crus1,crus 1 of the ansiform lobule,43,54,12,-6.9,-10.75,cerebellum,43 44 45 46 47 48 49 50 51 52 53 54
Crus2,crus 2 of the ansiform lobule,49,55,7,-9.0,-11.1,cerebellum,49 50 51 52 53 54 55
