abbr,name,plate,label_index,ap_bregma_mm,ml_mm,ml_abs_mm,dv_mm,position_from,box_cx_frac,box_cy_frac,box_w_frac,box_h_frac,leader_tip_x_frac,leader_tip_y_frac
sf,secondary fissure,53,0,-10.4,-0.63,0.63,-1.75,label box,0.4399,0.2779,0.0065,0.0119,,
sol,solitary tract,53,0,-10.4,0.86,0.86,-5.88,label box,0.5174,0.6111,0.0109,0.0119,,
sol,solitary tract,53,1,-10.4,-0.9,0.9,-5.73,label box,0.4263,0.5989,0.0098,0.0119,,
sol,solitary tract,53,2,-10.4,-0.84,0.84,-5.9,label box,0.429,0.6128,0.0109,0.0125,,
sp5,spinal trigeminal tract,53,0,-10.4,2.72,2.72,-6.35,label box,0.6136,0.6494,0.0127,0.0136,,
sp5,spinal trigeminal tract,53,1,-10.4,-2.59,2.59,-6.38,label box,0.3385,0.6518,0.0127,0.0142,,
ts,tectospinal tract,53,0,-10.4,-0.12,0.12,-7.01,label box,0.4664,0.7023,0.0065,0.0108,,
ts,tectospinal tract,53,1,-10.4,0.12,0.12,-7.01,label box,0.4792,0.7023,0.0065,0.0108,,
vsc,ventral spinocerebellar tract,53,0,-10.4,-1.85,1.85,-7.69,label box,0.377,0.7574,0.012,0.0091,,
vsc,ventral spinocerebellar tract,53,1,-10.4,1.97,1.97,-7.61,label box,0.5747,0.7514,0.012,0.0085,,
10Cb,10th cerebellar lobule (nodule),54,0,-10.75,0.04,0.04,-4.77,label box,0.4749,0.5213,0.0189,0.0119,,
10N,dorsal motor nucleus of vagus,54,0,-10.75,-0.41,0.41,-5.9,label box,0.4513,0.6128,0.0138,0.0119,,
10N,dorsal motor nucleus of vagus,54,1,-10.75,0.48,0.48,-5.89,label box,0.4978,0.6119,0.0138,0.0114,,
12N,hypoglossal nucleus,54,0,-10.75,-0.14,0.14,-6.19,label box,0.4655,0.6361,0.0138,0.0119,,
12N,hypoglossal nucleus,54,1,-10.75,0.28,0.28,-6.18,label box,0.4873,0.6355,0.0138,0.0119,,
12n,hypoglossal nerve,54,0,-10.75,0.6,0.6,-7.12,label box,0.504,0.7119,0.0131,0.0114,,
12n,hypoglossal nerve,54,1,-10.75,-0.5,0.5,-7.1,label box,0.4468,0.7103,0.0131,0.0119,,
4V,4th ventricle,54,0,-10.75,0.06,0.06,-5.75,label box,0.4757,0.6006,0.0094,0.0114,,
5Sol,trigeminal-solitary transition zone,54,0,-10.75,1.25,1.25,-5.97,label box,0.5376,0.6185,0.0156,0.0119,,
5Sol,trigeminal-solitary transition zone,54,1,-10.75,-1.17,1.17,-6.06,label box,0.4123,0.6262,0.016,0.0119,,
6Cb,6th cerebellar lobule,54,0,-10.75,0.04,0.04,-1.67,label box,0.4747,0.2713,0.0142,0.0119,,
