abbr,name,systems,first_plate,last_plate,n_plates,plates,n_labels,n_plates_labeled,label_ap_bregma_median_mm,label_ml_abs_median_mm,label_dv_median_mm,n_plates_with_extent,area_mm2_sum,area_mm2_max,traced_fraction_min,volume_mm3,mesh_grade,n_components,center_ml_mm,center_dv_mm,center_ap_mm
BMA,"basomedial amygdaloid nucleus, anterior part",amygdala,25,27,3,25 26 27,6,3,-0.95,3.43,-7.69,3,2.37,0.932,0.94,0.8883,surface,2,-3.39,-7.64,-0.97
BMP,"basomedial amygdaloid nucleus, posterior part",amygdala,28,31,4,28 29 30 31,8,4,-2.17,4.2,-7.5,4,1.978,0.595,0.98,0.7819,surface,2,-4.21,-7.59,-2.13
Bo,Bötzinger complex,brainstem,52,52,1,52,2,1,-10.05,1.67,-7.7,1,0.896,0.896,0.86,0.2856,slab,2,1.45,-7.3,-10.06
bsc,brachium of the superior colliculus,fiber_tract;midbrain;visual,33,35,3,33 34 35,6,3,-3.75,2.54,-3.72,3,1.389,0.788,0.9,0.5066,surface,2,2.7,-3.62,-3.63
BV,blood vessel,vascular;ventricular,21,21,1,21,1,1,0.8,3.35,-7.1,0,,,,,,,,,
CA1,field CA1 of the hippocampus,hippocampal,28,36,9,28 29 30 31 32 33 34 35 36,22,9,-3.05,3.61,-3.1,9,9.054,1.664,0.94,2.9579,surface,6,-3.43,-2.7,-3.61
CA2,field CA2 of the hippocampus,hippocampal,28,32,5,28 29 30 31 32,14,5,-2.35,3.71,-2.75,5,1.351,0.436,0.96,0.352,surface,11,-4.92,-3.49,-2.92
CA3,field CA3 of the hippocampus,hippocampal,27,34,8,27 28 29 30 31 32 33 34,20,8,-2.53,3.28,-3.53,8,4.962,1.394,0.37,1.5966,surface,4,-2.98,-3.45,-2.57
CAT,nucleus of the central acoustic tract,auditory;fiber_tract,43,43,1,43,2,1,-6.9,1.51,-7.84,1,0.268,0.268,0.98,0.1275,slab,2,-1.57,-7.94,-6.82
CB,cell bridges of the ventral striatum,basal_forebrain;motor,20,22,3,20 21 22,6,3,0.8,1.51,-7.33,3,0.233,0.105,0.43,0.135,surface,2,1.64,-7.35,0.69
cbw,cerebellar white matter,cerebellum;fiber_tract,43,57,15,43 44 45 46 47 48 49 50 51 52 53 54 55 56 57,95,15,-8.65,1.83,-3.23,0,,,,,,,,,
CC,central canal,ventricular,55,62,8,55 56 57 58 59 60 61 62,2,2,-12.15,0.03,-6.44,0,,,,,,,,,
cc,corpus callosum,fiber_tract,20,30,11,20 21 22 23 24 25 26 27 28 29 30,10,10,-0.42,0.04,-3.45,10,6.782,1.321,0.94,2.094,surface,2,0.18,-3.48,0.26
CeC,"central amygdaloid nucleus, capsular part",amygdala,26,29,4,26 27 28 29,7,4,-1.3,3.66,-6.62,4,2.282,0.995,0.75,0.7875,surface,3,-3.69,-6.63,-1.49
CeCv,central cervical nucleus of the spinal cord,brainstem,56,62,7,56 57 58 59 60 61 62,3,2,-11.45,0.53,-6.28,2,0.631,0.517,0.99,0.1771,surface,2,-0.46,-6.16,-11.62
CeL,"central amygdaloid nucleus, lateral division",amygdala,27,28,2,27 28,4,2,-1.48,3.36,-6.5,2,0.998,0.528,0.96,0.3544,slab,2,3.6,-6.42,-1.52
CeM,"central amygdaloid nucleus, medial division",amygdala,25,29,5,25 26 27 28 29,10,5,-1.3,3.39,-6.79,5,1.545,0.77,0.46,0.5566,surface,3,3.29,-6.87,-0.96
CEnt,caudomedial entothinal cortex,cortex;hippocampal,35,41,7,35 36 37 38 39 40 41,11,7,-5.15,4.07,-6.19,7,13.56,4.161,0.16,4.4808,surface,3,4.6,-5.22,-5.71
CG,central gray,midbrain,43,43,1,43,1,1,-6.9,0.46,-5.42,1,0.132,0.132,1,0.0436,slab,1,0.35,-5.39,-6.89
cg,cingulum,fiber_tract,17,34,18,17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34,36,18,-0.77,1.09,-2.78,18,5.454,0.486,0.93,2.06,surface,7,1.24,-2.47,-1.16
Cg1,"cingulate cortex, area 1",cortex,10,27,18,10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27,36,18,1.68,0.52,-2.73,18,31.466,2.539,0.98,11.2435,surface,1,0.02,-2.74,1.64
Cg2,"cingulate cortex, area 2",cortex,19,27,9,19 20 21 22 23 24 25 26 27,18,9,0.1,0.48,-3.12,9,13.764,2.337,0.93,4.7785,surface,1,0.05,-3.15,0.25
CGA,"central gray, alpha part",brainstem,44,46,3,44 45 46,3,2,-7.6,0.25,-6.06,2,0.342,0.227,0.97,0.1491,slab,1,0,-6,-7.81
CGB,"central gray, beta part",brainstem,44,45,2,44 45,3,2,-7.6,0.53,-5.93,2,0.356,0.221,0.99,0.1278,slab,2,0.5,-5.87,-7.48
CGG,"central gray, gamma part",brainstem,46,46,1,46,2,1,-7.95,0.73,-5.98,1,0.119,0.119,0.69,0.0505,slab,2,0.75,-6.01,-7.93
CGO,"central gray, nucleus O",brainstem,44,45,2,44 45,1,1,-7.6,0.12,-6.32,1,0.073,0.073,1,0.0303,slab,1,0.22,-6.3,-7.63
CGPn,central gray of the pons,brainstem,45,45,1,45,2,1,-7.6,0.69,-5.54,1,0.495,0.495,0.99,0.1326,slab,2,0.72,-5.59,-7.6
chp,choroid plexus,ventricular,24,54,31,24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54,44,20,-5.5,2.55,-5.04,20,13.969,2.239,0.71,4.1096,surface,13,-0.35,-5.2,-9.81
CIC,central nucleus of the inferior colliculus,auditory;midbrain,39,42,4,39 40 41 42,8,4,-6.03,2.02,-3.62,4,8.746,3.735,0.98,2.9094,surface,2,1.86,-3.46,-6.21
cic,commissure of the inferior colliculus,auditory;fiber_tract;midbrain,42,43,2,42 43,3,2,-6.9,1.44,-3.13,2,1.682,1.536,1,0.4109,slab,3,1.44,-3.19,-6.94
CL,centrolateral thalamic nucleus,thalamus,28,31,4,28 29 30 31,8,4,-2.17,1.25,-4.06,4,1.065,0.385,0.87,0.4374,surface,2,-1.23,-4.17,-2.24
Cl,claustrum,claustrum,12,27,16,12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27,10,5,3.25,1.61,-4.79,5,2.155,0.602,0.66,0.7314,surface,4,-1.53,-4.83,3.32
