abbr,name,systems,first_plate,last_plate,n_plates,plates,n_labels,n_plates_labeled,label_ap_bregma_median_mm,label_ml_abs_median_mm,label_dv_median_mm,n_plates_with_extent,area_mm2_sum,area_mm2_max,traced_fraction_min,volume_mm3,mesh_grade,n_components,center_ml_mm,center_dv_mm,center_ap_mm
MZMG,marginal zone of the medial geniculate,auditory;thalamus,33,35,3,33 34 35,6,3,-3.75,3.09,-5.34,3,0.464,0.247,0.54,0.1928,surface,2,-3.12,-5.36,-3.83
ns,nigrostriatal bundle,fiber_tract,27,33,7,27 28 29 30 31 32 33,9,7,-2.35,1.47,-6.44,7,4.899,1.781,0.63,1.625,surface,3,1.35,-6.75,-1.58
Nv,navicular nucleus of the basal forebrain,basal_forebrain,17,18,2,17 18,4,2,2.03,0.22,-6.84,2,1.2,0.925,0.98,0.4538,slab,1,-0.27,-6.99,2.1
Obex,obex,brainstem,57,57,1,57,1,1,-11.8,0.04,-5.59,0,,,,,,,,,
oc,olivocerebellar tract,cerebellum;fiber_tract,50,54,5,50 51 52 53 54,7,5,-9.7,2.91,-6.85,4,0.687,0.507,0.91,0.1666,surface,4,2.7,-7.16,-9.67
Oca,"octopus cell area, ventral cochlear nucleus",auditory,47,49,3,47 48 49,6,3,-8.65,2.97,-5.74,3,1.086,0.547,0.85,0.3281,surface,2,-2.94,-5.93,-8.68
ocb,olivocochlear bundle,auditory;fiber_tract,46,47,2,46 47,3,2,-7.95,2.13,-5.83,2,0.239,0.2,0.8,0.0433,slab,3,-2.14,-5.74,-7.88
och,optic chiasm,fiber_tract;visual,21,25,5,21 22 23 24 25,5,5,0.1,0.07,-8.3,5,4.193,0.981,0.96,1.5133,surface,1,-0.01,-8.3,-0.01
ON,olfactory nerve layer,olfactory,1,8,8,1 2 3 4 5 6 7 8,18,8,6.75,0.46,-7.18,8,11.224,2.333,1,3.5956,surface,1,0.03,-6.52,6.77
Op,optic nerve layer of the superior colliculus,midbrain;visual,33,40,8,33 34 35 36 37 38 39 40,17,8,-4.45,0.98,-2.18,8,11.734,1.963,0.98,4.2208,surface,3,-1.28,-2.51,-4.62
OPC,oval paracentral thalamic nucleus,thalamus,29,31,3,29 30 31,6,3,-2.35,1.25,-5.24,3,0.486,0.176,0.72,0.2049,surface,2,-1.25,-5.23,-2.45
OPT,olivary pretectal nucleus,visual,32,33,2,32 33,3,2,-3.05,1.35,-3.35,2,0.491,0.27,1,0.1524,slab,3,1.82,-3.44,-3.46
opt,optic tract,fiber_tract;visual,26,33,8,26 27 28 29 30 31 32 33,17,8,-2.35,3.13,-5.64,8,9.632,1.521,0.96,3.6108,surface,3,2.8,-5.75,-2.2
Or,oriens layer of the hippocampus,hippocampal,27,36,10,27 28 29 30 31 32 33 34 35 36,32,10,-3.05,4.33,-3.89,10,20.708,3.914,0.55,7.0341,surface,6,-4.62,-4.78,-3.27
OT,nucleus of the optic tract,fiber_tract;visual,32,35,4,32 33 34 35,8,4,-3.58,1.95,-3.49,4,0.546,0.194,0.56,0.1974,surface,4,-1.84,-3.42,-3.31
OV,olfactory ventricle (olfactory part of lateral ventricle),olfactory;ventricular,1,16,16,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16,21,15,5,1.68,-6.71,2,0.136,0.096,0.83,0.1185,surface,3,-1.08,-6.23,5.01
p1PAG,p1 periaqueductal gray,midbrain;ventricular,32,34,3,32 33 34,0,0,,,,0,,,,,,,,,
p1Rt,p1 reticular formation,midbrain,32,35,4,32 33 34 35,0,0,,,,0,,,,,,,,,
P5,peritrigeminal zone,somatosensory,43,46,4,43 44 45 46,10,4,-7.6,1.69,-6.17,4,1.219,0.428,0.65,0.4065,surface,4,-1.7,-6.31,-7.37
P7,perifacial zone,brainstem,48,51,4,48 49 50 51,8,4,-9,1.59,-7.8,4,0.566,0.286,0.31,0.1961,surface,4,1.69,-7.69,-9.38
Pa4,paratrochlear nucleus,midbrain;motor,40,41,2,40 41,4,2,-6.03,0.74,-5.18,2,0.414,0.257,0.96,0.1569,slab,2,0.67,-5.17,-5.95
Pa5,paratrigeminal nucleus,somatosensory,54,57,4,54 55 56 57,8,4,-11.27,1.88,-5.68,3,0.336,0.137,0.89,0.1316,surface,2,-1.93,-5.79,-11.04
Pa6,paraabducens nucleus,motor,46,47,2,46 47,3,2,-8.3,0.4,-6.56,2,0.177,0.095,0.98,0.0616,slab,2,0.46,-6.43,-8.14
PaAP,"paraventricular hypothalamic nucleus, anterior parvicellular part",hypothalamus;thalamus,25,26,2,25 26,3,2,-0.6,0.28,-6.33,2,0.435,0.392,0.98,0.1936,slab,1,0.01,-6.36,-0.67
PaMM,"paraventricular hypothalamic nucleus, medial magnocellular part",hypothalamus;thalamus,27,28,2,27 28,3,2,-1.3,0.26,-6.63,2,0.524,0.306,0.92,0.218,slab,2,0.25,-6.62,-1.42
PaMP,"paraventricular hypothalamic nucleus, medial parvicellular part",hypothalamus;thalamus,27,27,1,27,1,1,-1.3,0.07,-6.41,1,0.109,0.109,0.98,0.039,slab,1,0.02,-6.66,-1.29
PaPo,"paraventricular hypothalamic nucleus, posterior part",hypothalamus;thalamus,28,28,1,28,1,1,-1.65,0.62,-6.61,1,0.044,0.044,0.55,0.0206,slab,1,-0.57,-6.62,-1.72
PaR,pararubral nucleus,midbrain,35,38,4,35 36 37 38,8,4,-4.62,1.35,-5.6,4,4.256,2.545,0.91,1.4366,surface,2,1.15,-5.32,-4.33
PaS,parasubiculum,hippocampal,35,42,8,35 36 37 38 39 40 41 42,12,8,-5.67,4.01,-4.39,8,7.658,2.504,0.68,2.8133,surface,2,4.11,-4.57,-5.67
PaV,"paraventricular hypothalamic nucleus, ventral part",hypothalamus;thalamus,27,27,1,27,1,1,-1.3,0.35,-7.09,1,0.067,0.067,0.51,0.0313,slab,1,-0.37,-7.03,-1.3
PaXi,paraxiphoid nucleus of thalamus,thalamus,27,29,3,27 28 29,2,2,-1.65,0.01,-6.27,2,0.208,0.121,0.89,0.1131,surface,1,0.01,-6.27,-1.65
PBG,parabigeminal nucleus,midbrain,38,40,3,38 39 40,5,3,-5.5,2.82,-4.99,3,0.501,0.184,1,0.2271,surface,2,-2.64,-5.06,-5.42
PBP,parabrachial pigmented nucleus of the ventral tegmental area,midbrain;monoaminergic,33,37,5,33 34 35 36 37,10,5,-4.1,0.97,-6.67,5,3.571,1.486,0.77,1.1839,surface,2,1.06,-6.57,-4.01
PC,paracentral thalamic nucleus,thalamus,27,30,4,27 28 29 30,8,4,-1.82,0.92,-4.85,4,1.809,0.581,0.93,0.639,surface,3,0.93,-4.86,-1.94
pc,posterior commissure,fiber_tract,32,34,3,32 33 34,3,3,-3.4,0.39,-4.04,3,0.674,0.287,0.99,0.2673,surface,1,-0.04,-4.12,-3.43
PCGS,paracochlear glial substance,auditory,46,46,1,46,2,1,-7.95,2.41,-5.44,1,0.171,0.171,0.67,0.0885,slab,2,-2.44,-5.38,-7.87
pcn,precentral fissure,cerebellum,43,46,4,43 44 45 46,4,4,-7.42,0.48,-3.57,0,,,,,,,,,
PCom,nucleus of the posterior commissure,fiber_tract,33,34,2,33 34,4,2,-3.58,0.62,-4.09,2,0.942,0.482,1,0.3305,slab,2,-0.72,-4.14,-3.55
PCRt,parvicellular reticular nucleus,brainstem,46,54,9,46 47 48 49 50 51 52 53 54,18,9,-9.35,1.63,-6.58,9,8.68,1.403,0.7,3.0821,surface,2,-1.57,-6.58,-9.39
pcuf,preculminate fissure,cerebellum,43,47,5,43 44 45 46 47,2,2,-7.95,0.4,-2.93,0,,,,,,,,,
PDR,posterodorsal raphe nucleus,brainstem;monoaminergic,39,42,4,39 40 41 42,7,4,-6.2,0.52,-4.99,4,0.833,0.314,0.95,0.3061,surface,3,-0.51,-4.82,-6.09
PDTg,posterodorsal tegmental nucleus,midbrain,45,45,1,45,2,1,-7.6,0.24,-5.77,1,0.31,0.31,1,0.1108,slab,2,-0.24,-5.75,-7.57
Pe,periventricular hypothalamic nucleus,hypothalamus;thalamus,23,30,8,23 24 25 26 27 28 29 30,6,6,-1.12,0.09,-7.23,5,0.573,0.189,0.5,0.2284,surface,3,0.04,-7.04,-0.52
PeF,perifornical nucleus,hypothalamus,29,30,2,29 30,4,2,-2.17,1.19,-7.19,2,0.711,0.441,0.59,0.2956,slab,2,1.25,-7.2,-2.15
PeFLH,perifornical part of lateral hypothalamus,hypothalamus;thalamus,29,32,4,29 30 31 32,7,4,-2.7,0.93,-7.24,4,3.988,1.781,0.63,1.3024,surface,2,0.9,-6.99,-2.81
PF,parafascicular thalamic nucleus,thalamus,31,32,2,31 32,4,2,-2.88,1.07,-4.99,2,3.323,2.668,0.85,1.195,slab,2,-0.97,-4.84,-2.81
PFl,paraflocculus,cerebellum,43,50,8,43 44 45 46 47 48 49 50,17,8,-8.3,4.44,-4.35,8,31.018,5.911,0.67,11.1959,surface,2,-4.21,-4.29,-8.14
pfs,parafloccular sulcus,cerebellum,44,50,7,44 45 46 47 48 49 50,14,7,-8.3,3.36,-3.79,0,,,,,,,,,
PH,posterior hypothalamic nucleus,hypothalamus;thalamus,31,32,2,31 32,4,2,-2.88,0.27,-6.45,2,1.26,0.747,0.87,0.4746,slab,1,-0.02,-6.31,-2.91
PHA,posterior hypothalamic area,hypothalamus;thalamus,33,33,1,33,1,1,-3.4,0,-6.23,1,0.815,0.815,1,0.2276,slab,1,0.01,-6.45,-3.39
PHD,"posterior hypothalamic area, dorsal part",hypothalamus;thalamus,30,31,2,30 31,2,2,-2.53,0.01,-6.14,2,0.401,0.316,0.85,0.139,slab,1,-0.01,-6.19,-2.48
PIF,parainterfascicular nucleus of the ventral tegmental area,midbrain;monoaminergic,36,37,2,36 37,3,2,-4.45,0.48,-6.27,1,0.145,0.145,0.96,0.0466,slab,1,-0.43,-6.55,-4.79
PIL,posterior intralaminar thalamic nucleus,thalamus,33,35,3,33 34 35,6,3,-3.75,2.06,-5.52,3,0.883,0.387,0.88,0.3581,surface,2,1.97,-5.43,-3.78
Pir,piriform cortex,cortex;olfactory,11,33,23,11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33,44,23,0.45,3.62,-7.05,23,8.262,1.216,0.71,2.857,surface,5,-3.47,-7.33,0.49
PL,paralemniscal nucleus,auditory,40,42,3,40 41 42,6,3,-6.2,2.15,-4.88,3,1.454,0.836,0.73,0.5151,surface,2,2.28,-4.87,-6.09
PLCo,posterolateral cortical amygdaloid nucleus,amygdala,27,29,3,27 28 29,6,3,-1.65,3.93,-8.31,3,0.549,0.218,0.91,0.2745,surface,2,-4.19,-8.48,-1.69
plf,posterolateral fissure,cerebellum,43,55,13,43 44 45 46 47 48 49 50 51 52 53 54 55,19,12,-8.3,4.04,-4.67,0,,,,,,,,,
PLH,peduncular part of lateral hypothalamus,hypothalamus;thalamus,26,33,8,26 27 28 29 30 31 32 33,11,8,-2.35,1.48,-7.05,8,10.611,5.001,0.68,3.1446,surface,3,-1.47,-6.88,-1.69
PLi,posterior limitans thalamic nucleus,thalamus,33,35,3,33 34 35,5,3,-3.75,2.32,-4.31,3,0.497,0.228,0.98,0.2078,surface,3,-2.24,-4.61,-3.8
PLV,"perilemniscal nucleus, ventral part",auditory,41,43,3,41 42 43,5,3,-6.55,1.36,-7.23,3,1.048,0.589,0.92,0.3665,surface,2,1.44,-7.09,-6.5
PM,paramedian lobule,cerebellum,49,56,8,49 50 51 52 53 54 55 56,15,8,-10.05,2.82,-3.62,8,19.819,5.09,0.18,7.236,surface,2,2.44,-3.41,-10.46
pm,principal mammillary tract,fiber_tract;hypothalamus,33,34,2,33 34,4,2,-3.58,0.58,-7.22,2,1.004,0.93,0.95,0.2896,slab,2,-0.46,-7.4,-3.42
PMCo,posteromedial cortical amygdaloid nucleus,amygdala,29,33,5,29 30 31 32 33,9,5,-2.7,3.84,-7.86,5,6.42,2.102,0.96,2.232,surface,2,-3.8,-7.95,-2.59
PMD,"premammillary nucleus, dorsal part",hypothalamus,33,33,1,33,2,1,-3.4,0.44,-7.37,1,0.478,0.478,1,0.1775,slab,2,0.49,-7.4,-3.4
PMnR,paramedian raphe nucleus,brainstem;monoaminergic,39,42,4,39 40 41 42,7,4,-6.2,0.31,-6.25,4,1.858,0.56,0.96,0.6873,surface,1,-0.03,-6.38,-5.98
pms,paramedian sulcus,cerebellum,50,55,6,50 51 52 53 54 55,12,6,-10.23,1.14,-1.36,0,,,,,,,,,
PMV,"premammillary nucleus, ventral part",hypothalamus,32,33,2,32 33,4,2,-3.22,0.55,-7.84,2,1.907,1.525,0.71,0.586,slab,2,-0.57,-7.81,-3.15
PN,paranigral nucleus of the ventral tegmental area,midbrain;monoaminergic,36,37,2,36 37,3,2,-4.45,0.51,-6.27,2,0.555,0.48,0.88,0.1454,slab,3,-0.55,-6.33,-4.44
Pn,pontine nuclei,brainstem,39,42,4,39 40 41 42,8,4,-6.03,0.68,-7.9,4,5.622,2.02,1,2.1634,surface,1,-0.03,-7.81,-6.11
PnC,"pontine reticular nucleus, caudal part",brainstem,44,47,4,44 45 46 47,7,4,-7.6,0.75,-7.17,4,7.582,3.031,0,2.4124,surface,2,0.41,-7.2,-7.89
PnO,"pontine reticular nucleus, oral part",brainstem,39,43,5,39 40 41 42 43,10,5,-6.2,1.04,-6.53,5,10.304,3.021,0.27,3.5963,surface,2,-1.15,-6.46,-6.4
PnR,pontine raphe nucleus,brainstem;monoaminergic,43,43,1,43,2,1,-6.9,0.17,-6.38,1,0.233,0.233,0.87,0.0904,slab,2,0.09,-6.33,-6.87
PnV,"pontine reticular nucleus, ventral part",brainstem,45,47,3,45 46 47,4,3,-7.95,0.36,-8.02,3,0.869,0.438,0.23,0.2794,surface,1,0.25,-8.09,-8.09
Po,posterior thalamic nuclear group,thalamus,28,33,6,28 29 30 31 32 33,12,6,-2.53,2.16,-4.49,6,7.721,2.734,0.9,2.8379,surface,2,2.07,-4.37,-2.4
PoDG,polymorph layer of the dentate gyrus,hippocampal,28,35,8,28 29 30 31 32 33 34 35,21,8,-3.05,2.86,-3.27,8,6.103,2.244,0.94,2.1231,surface,3,-3.45,-4.13,-3.46
PoMn,posteromedian thalamic nucleus,thalamus,31,31,1,31,1,1,-2.7,0.02,-5.02,1,0.11,0.11,0.73,0.0386,slab,1,-0.06,-5,-2.66
Post,postsubiculum,hippocampal,35,40,6,35 36 37 38 39 40,12,6,-4.97,3.19,-2.43,6,12.021,4.07,0.97,4.3689,surface,2,-3.35,-2.72,-5.2
PoT,"posterior thalamic nuclear group, triangular part",thalamus,33,35,3,33 34 35,6,3,-3.75,2,-5.29,3,1.15,0.556,0.84,0.46,surface,2,-2.09,-5.24,-3.69
PP,peripeduncular nucleus,midbrain,33,35,3,33 34 35,6,3,-3.75,2.88,-5.62,3,0.926,0.445,0.99,0.3698,surface,2,2.96,-5.56,-3.83
ppf,prepyramidal fissure,cerebellum,51,56,6,51 52 53 54 55 56,10,5,-10.23,2.74,-4.31,0,,,,,,,,,
PPT,posterior pretectal nucleus,visual,33,35,3,33 34 35,5,3,-3.75,2.08,-3.92,3,0.982,0.616,0.84,0.2869,surface,2,1.94,-3.9,-3.79
PPy,parapyramidal nucleus,brainstem,49,50,2,49 50,4,2,-9.18,0.84,-8.57,2,0.16,0.124,1,0.0555,slab,3,1.07,-8.56,-8.94
Pr,prepositus nucleus,brainstem;vestibular,47,53,7,47 48 49 50 51 52 53,13,7,-9.35,0.27,-5.97,7,1.725,0.321,0.85,0.6378,surface,1,0.02,-5.98,-9.35
PR,prerubral field,midbrain,31,34,4,31 32 33 34,8,4,-3.22,1.01,-5.82,4,2.505,1.06,0.79,1.0235,surface,2,1.03,-5.84,-3.32
Pr5DM,"principal sensory trigeminal nucleus, dorsomedial part",somatosensory,44,47,4,44 45 46 47,7,4,-7.95,2.31,-6.24,4,1.447,0.491,0.83,0.5403,surface,2,2.25,-6.13,-7.89
Pr5VL,"principal sensory trigeminal nucleus, ventrolateral part",somatosensory,43,47,5,43 44 45 46 47,10,5,-7.6,2.41,-6.62,5,3.093,1.054,0.95,1.0955,surface,2,2.43,-6.45,-7.57
PrC,precommissural nucleus,midbrain,31,33,3,31 32 33,6,3,-3.05,0.44,-4.41,3,0.797,0.512,1,0.2539,surface,3,-0.59,-4.29,-3.21
PrCnF,precuneiform area,midbrain,38,41,4,38 39 40 41,8,4,-5.67,1.56,-4.46,4,4.542,1.838,0.55,1.6358,surface,2,-1.65,-4.51,-5.49
PrEW,pre-Edinger–Westphal nucleus,midbrain,34,35,2,34 35,2,2,-3.92,0.09,-6.12,2,0.994,0.906,1,0.2564,slab,1,-0.05,-5.15,-3.77
prf,primary fissure,cerebellum,43,50,8,43 44 45 46 47 48 49 50,10,8,-7.78,1.54,-1.99,0,,,,,,,,,
PRh,perirhinal cortex,cortex;hippocampal,28,42,15,28 29 30 31 32 33 34 35 36 37 38 39 40 41 42,30,15,-4.1,6.03,-5.8,15,19.308,2.163,0.93,6.9626,surface,2,5.95,-5.46,-3.83
PrL,prelimbic cortex,cortex,9,18,10,9 10 11 12 13 14 15 16 17 18,20,10,3.42,0.58,-4.27,10,19.275,3.045,0.99,6.9198,surface,1,-0.02,-4.14,3.27
PrS,presubiculum,hippocampal,35,38,4,35 36 37 38,7,4,-4.8,4.09,-5.53,4,4.137,2.327,0.87,1.4454,surface,3,4.16,-5.27,-4.81
PS,parastrial nucleus,hypothalamus,23,24,2,23 24,4,2,-0.07,0.74,-6.61,2,0.389,0.217,0.5,0.1489,slab,2,-0.83,-6.61,-0.08
psf,posterior superior fissure,cerebellum,43,54,12,43 44 45 46 47 48 49 50 51 52 53 54,13,8,-7.95,2.75,-1.82,0,,,,,,,,,
PSol,parasolitary nucleus,brainstem,54,55,2,54 55,3,2,-11.1,0.69,-5.62,2,0.763,0.494,0.56,0.2694,slab,2,0.74,-5.74,-10.91
PSTh,parasubthalamic nucleus,thalamus,32,32,1,32,2,1,-3.05,1.38,-6.97,1,0.414,0.414,1,0.1511,slab,2,1.42,-6.9,-3
PT,paratenial thalamic nucleus,thalamus,25,27,3,25 26 27,6,3,-0.95,0.35,-5.08,3,1.36,0.585,1,0.5544,surface,2,-0.38,-5.15,-0.85
Pta,pericollicular tegmental area,auditory;midbrain,39,43,5,39 40 41 42 43,10,5,-6.2,2.11,-4.25,5,3.494,1.398,0.88,1.2165,surface,2,1.85,-4.1,-6.36
PTe,paraterete nucleus,thalamus,29,30,2,29 30,3,2,-2.35,1.74,-7.39,2,0.198,0.152,0.7,0.0724,slab,2,-1.73,-7.5,-2.23
PTg,pedunculopontine tegmental nucleus,brainstem;midbrain,38,42,5,38 39 40 41 42,10,5,-5.85,1.51,-5.55,5,7.222,4.74,0.04,2.2715,surface,2,1.38,-5.57,-5.75
PtP,"parietal cortex, posterior area",cortex,28,31,4,28 29 30 31,7,4,-2.35,4.21,-1.97,4,5.29,1.809,0.94,1.7689,surface,3,-4.39,-2.09,-2.14
PV,paraventricular thalamic nucleus,thalamus,27,28,2,27 28,2,2,-1.48,0.01,-4.42,2,0.435,0.225,1,0.1689,slab,1,-0.02,-4.41,-1.48
PVA,"paraventricular thalamic nucleus, anterior part",thalamus,25,26,2,25 26,3,2,-0.6,0.16,-5.24,2,0.771,0.439,0.88,0.285,slab,1,0.05,-5.05,-0.74
PVP,"paraventricular thalamic nucleus, posterior part",thalamus,29,31,3,29 30 31,3,3,-2.35,0.01,-4.39,3,0.977,0.496,0.64,0.389,surface,1,-0.01,-4.33,-2.49
Py,pyramidal cell layer of the hippocampus,hippocampal,27,36,10,27 28 29 30 31 32 33 34 35 36,31,10,-3.05,4.45,-4.05,10,9.436,1.789,0.92,3.0876,surface,10,4.46,-3.49,-3.51
py,pyramidal tract,fiber_tract;motor,43,58,16,43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58,32,16,-9.35,0.44,-8.58,16,5.763,0.96,0.34,2.1348,surface,2,-0.08,-8.55,-9.25
pyx,pyramidal decussation,fiber_tract;motor,57,62,6,57 58 59 60 61 62,6,6,-12.68,0.03,-7.24,5,1.218,0.486,0.7,0.411,surface,1,-0.04,-7.24,-12.76
Rad,radiatum layer of the hippocampus,hippocampal,28,36,9,28 29 30 31 32 33 34 35 36,26,9,-3.05,4.58,-4.26,9,28.13,9.242,0.86,9.9269,surface,2,-3.86,-4.18,-3.03
RAmb,retroambiguus nucleus,brainstem,56,58,3,56 57 58,6,3,-11.8,1.34,-7.05,3,0.417,0.175,0.89,0.1563,surface,2,-1.28,-7.11,-11.79
RAPir,rostral amygdalopiriform area,amygdala;olfactory,28,30,3,28 29 30,6,3,-2,4.65,-8.17,3,1.206,0.788,0.97,0.425,surface,3,-4.88,-8.07,-2.24
Rbd,rhabdoid nucleus,midbrain,39,39,1,39,2,1,-5.5,0.26,-6.26,1,0.087,0.087,0.98,0.0378,slab,2,-0.23,-6.3,-5.41
RCh,retrochiasmatic area,hypothalamus,27,28,2,27 28,2,2,-1.48,0.02,-8.13,2,0.2,0.116,0.41,0.077,slab,1,-0.02,-8.15,-1.5
RChL,"retrochiasmatic area, lateral part",hypothalamus,27,27,1,27,2,1,-1.3,0.5,-8.09,1,0.691,0.691,0.72,0.2714,slab,3,0.42,-7.82,-1.26
Re,reuniens thalamic nucleus,thalamus,26,30,5,26 27 28 29 30,8,5,-1.48,0.26,-5.83,5,1.413,0.526,0.7,0.5518,surface,1,-0.03,-5.84,-1.42
REth,retroethmoid nucleus,thalamus,33,33,1,33,2,1,-3.4,1.67,-5.34,1,0.351,0.351,1,0.124,slab,2,-1.74,-5.33,-3.39
rf,rhinal fissure,cerebellum;landmark,7,41,35,7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41,68,35,-0.42,5.74,-6.23,0,,,,,,,,,
Rh,rhomboid thalamic nucleus,thalamus,27,30,4,27 28 29 30,4,4,-1.82,0.01,-5.44,4,0.598,0.2,0.78,0.2278,surface,1,0,-5.45,-1.93
ri,rhinal incisure,landmark,7,12,6,7 8 9 10 11 12,8,5,4.47,0.17,-5.87,0,,,,,,,,,
RI,rostral interstitial nucleus of medial longitudinal fasciculus,fiber_tract,32,33,2,32 33,4,2,-3.22,0.49,-5.71,2,0.675,0.401,1,0.2378,slab,2,-0.46,-5.71,-3.28
RIP,raphe interpositus nucleus,brainstem;monoaminergic,46,48,3,46 47 48,3,3,-8.3,0.01,-7.47,3,0.206,0.107,0.29,0.0895,surface,1,0,-7.45,-8.29
RLi,rostral linear nucleus of the raphe,brainstem;monoaminergic,35,36,2,35 36,2,2,-4.28,0.09,-6.26,2,0.228,0.17,0.78,0.0869,slab,1,-0.07,-6.31,-4.17
RMC,"red nucleus, magnocellular part",midbrain;motor,35,38,4,35 36 37 38,7,4,-4.45,0.74,-5.94,4,2.748,1.105,0.97,1.0888,surface,2,0.72,-5.84,-4.56
RMg,raphe magnus nucleus,brainstem;monoaminergic,44,51,8,44 45 46 47 48 49 50 51,8,8,-8.48,0.02,-8.09,8,0.993,0.18,0.96,0.4038,surface,1,-0.01,-8.11,-8.52
Ro,nucleus of Roller,brainstem,52,56,5,52 53 54 55 56,10,5,-10.75,0.28,-6.53,4,0.254,0.117,0.92,0.1096,surface,3,0.37,-6.54,-10.63
ROb,raphe obscurus nucleus,brainstem;monoaminergic,50,58,9,50 51 52 53 54 55 56 57 58,7,7,-10.4,0.06,-7.17,6,0.679,0.179,0.63,0.2333,surface,1,0.01,-7.34,-10.42
RPa,raphe pallidus nucleus,brainstem;monoaminergic,43,58,16,43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58,15,15,-9.7,0.04,-8.23,12,0.604,0.078,0.62,0.2073,surface,4,0.03,-8.01,-11.08
RPC,"red nucleus, parvicellular part",midbrain;motor,35,36,2,35 36,4,2,-4.28,0.68,-5.64,2,0.43,0.229,0.94,0.1374,slab,3,0.63,-5.67,-4.18
RPO,rostral periolivary nucleus,auditory,44,44,1,44,2,1,-7.25,1.76,-7.62,1,0.153,0.153,0.97,0.0481,slab,2,-1.85,-7.63,-7.25
RR,retrorubral nucleus,midbrain;monoaminergic,39,40,2,39 40,4,2,-5.67,2.12,-5.63,2,0.544,0.329,1,0.2228,slab,2,-2.11,-5.56,-5.71
RRe,retrouniens area,thalamus,31,31,1,31,1,1,-2.7,0.01,-5.56,1,0.3,0.3,0.99,0.1101,slab,1,0.03,-5.67,-2.73
RRF,retrorubral field,midbrain;monoaminergic,37,39,3,37 38 39,6,3,-5.15,1.41,-5.82,3,2.791,2.068,0.04,0.8705,surface,2,1.23,-5.91,-5.08
rs,rubrospinal tract,fiber_tract;motor,41,62,22,41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62,41,22,-10.05,2.06,-7.29,21,4.691,0.563,0.48,1.5459,surface,9,-2.23,-7.27,-9.45
RSD,retrosplenial dysgranular cortex,cortex,27,42,16,27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42,31,16,-3.75,1.24,-0.83,15,21.004,2.045,1,7.1973,surface,1,0.15,-0.97,-3.66
RSG,retrosplenial granular cortex,cortex,40,40,1,40,2,1,-5.85,2.36,-1.67,0,,,,,,,,,
RSGa,"retrosplenial granular cortex, a region",cortex,35,39,5,35 36 37 38 39,10,5,-4.8,2.15,-1.6,5,4.754,1.264,0.92,1.5995,surface,2,-1.94,-1.6,-4.86
RSGb,"retrosplenial granular cortex, b region",cortex,32,39,8,32 33 34 35 36 37 38 39,15,8,-4.45,0.93,-1.18,8,9.766,2.459,0.94,3.4968,surface,1,0.12,-1.3,-4.5
RSGc,"retrosplenial granular cortex, c region",cortex,27,36,10,27 28 29 30 31 32 33 34 35 36,20,10,-2.88,0.51,-1.46,8,13.161,2.415,0.94,4.631,surface,1,0.06,-1.31,-2.99
Rt,reticular thalamic nucleus,thalamus,26,30,5,26 27 28 29 30,10,5,-1.65,3.38,-4.77,5,7.042,2.028,0.85,2.3866,surface,2,-2.57,-5.01,-1.49
RtSt,reticluostrial nucleus,thalamus,26,26,1,26,2,1,-0.95,1.68,-4.03,1,0.132,0.132,0.99,0.0784,slab,2,1.78,-4.08,-0.93
RtTg,reticulotegmental nucleus of the pons,brainstem;midbrain,41,45,5,41 42 43 44 45,10,5,-6.9,0.29,-7.22,5,2.995,1.155,0.95,1.193,surface,1,-0.06,-7.29,-6.69
RtTgP,"reticulotegmental nucleus of the pons, pericentral part",brainstem;midbrain,41,42,2,41 42,4,2,-6.38,0.79,-7.11,2,0.673,0.419,0.9,0.2459,slab,1,-0.07,-7.13,-6.37
RVRG,rostral ventral respiratory group,brainstem,53,53,1,53,2,1,-10.4,1.67,-7.35,1,0.453,0.453,0.65,0.1526,slab,2,1.7,-7.22,-10.38
S1,primary somatosensory cortex,cortex;somatosensory,24,30,7,24 25 26 27 28 29 30,12,7,-1.3,5.71,-3.84,7,12.811,2.375,0.95,3.7425,surface,4,5.88,-3.94,-0.77
S1BF,"primary somatosensory cortex, barrel field",cortex;somatosensory,20,28,9,20 21 22 23 24 25 26 27 28,18,9,-0.25,4.31,-2.58,8,36.802,6.646,0.89,13.0709,surface,2,4.31,-2.46,-0.65
S1DZ,"primary somatosensory cortex, dysgranular zone",cortex;somatosensory,16,28,13,16 17 18 19 20 21 22 23 24 25 26 27 28,26,13,0.45,3.37,-3.13,13,7.359,0.954,0.32,2.3723,surface,7,3.18,-1.86,-1.15
S1DZO,"primary somatosensory cortex, oral dysgranular zone",cortex;somatosensory,18,19,2,18 19,4,2,1.68,4.59,-3.95,2,1.459,0.876,1,0.5369,slab,2,-4.13,-4.05,1.79
