abbreviation,structure,plates_index_of_structures,plates_index_of_abbreviations,first_plate,last_plate,n_plates,plates,note
MGM,"medial geniculate nucleus, medial part",33–36,33–36,33,36,4,33 34 35 36,
MGV,"medial geniculate nucleus, ventral part",33–36,33–36,33,36,4,33 34 35 36,
MHb,medial habenular nucleus,27–31,27–31,27,31,5,27 28 29 30 31,
Mi,mitral cell layer of the olfactory bulb,1–10,1–10,1,10,10,1 2 3 4 5 6 7 8 9 10,
MiA,mitral cell layer of the accessory olfactory bulb,5–9,5–9,5,9,5,5 6 7 8 9,
MiTg,microcellular tegmental nucleus,38–39,38–39,38,39,2,38 39,
ML,"medial mammillary nucleus, lateral part",34–36,34–36,34,36,3,34 35 36,
ml,medial lemniscus,28–54,28–54,28,54,27,28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54,
mlf,medial longitudinal fasciculus,37–62,37–62,37,62,26,37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62,
mlx,medial lemniscal decussation,56,56,56,56,1,56,
MM,"medial mammillary nucleus, medial part",34–35,34–35,34,35,2,34 35,
MnA,median accessory nucleus of the medulla,59–62,59–62,59,62,4,59 60 61 62,
MnM,"medial mammillary nucleus, median part",34–,34,34,34,1,34,"printed with a dash and no second plate; left at plate 34, nothing being printed past it; the Index of structures leaves the range open as ""34-"""
MnPO,median preoptic nucleus,22–24,22–24,22,24,3,22 23 24,
MnR,median raphe nucleus,39–43,39–43,39,43,5,39 40 41 42 43,
MNTB,medial nucleus of the trapezoid body,43–47,43–47,43,47,5,43 44 45 46 47,
MO,medial orbital cortex,8–14,8–14,8,14,7,8 9 10 11 12 13 14,
MoDG,molecular layer of the dentate gyrus,27–37,27–37,27,37,11,27 28 29 30 31 32 33 34 35 36 37,
MoS,molecular layer of the subiculum,37,37,37,37,1,37,
mp,mammillary peduncle,35–36,35–36,35,36,2,35 36,
MPA,medial preoptic area,22–25,22–25,22,25,4,22 23 24 25,
MPB,medial parabrachial nucleus,43–45,43–45,43,45,3,43 44 45,
MPBE,"medial parabrachial nucleus, external part",44,44,44,44,1,44,
MPL,"paralemniscal nucleus, medial part",41–42,41–42,41,42,2,41 42,
MPO,medial preoptic nucleus,24–25,24–25,24,25,2,24 25,
MPT,medial pretectal nucleus,32,32,32,32,1,32,
MPtA,medial parietal association cortex,28–30,28–30,28,30,3,28 29 30,
MRe,mammillary recess of the 3rd ventricle,34,34,34,34,1,34,
mRt,mesencehalic reticular formation,36–38,36–38,36,38,3,36 37 38,
MS,medial septal nucleus,19–23,19–23,19,23,5,19 20 21 22 23,
MSO,medial superior olive,44–47,44–47,44,47,4,44 45 46 47,
MT,medial terminal nucleus of the accessory optic tract,35,35,35,35,1,35,
mt,mammillothalamic tract,27–33,27–33,27,33,7,27 28 29 30 31 32 33,
mtg,mammillotegmental tract,33,33,33,33,1,33,
MTu,medial tuberal nucleus,29–31,29–31,29,31,3,29 30 31,
MVe,medial vestibular nucleus,53,53,53,53,1,53,
MVeMC,"medial vestibular nucleus, magnocellular part",46–52,46–52,46,52,7,46 47 48 49 50 51 52,
MVePC,"medial vestibular nucleus, parvicellular part",46–52,46–52,46,52,7,46 47 48 49 50 51 52,
MVPO,medioventral periolivary nucleus,44–47,44–47,44,47,4,44 45 46 47,
Mx,matrix region of the medulla,50–59,50–59,50,59,10,50 51 52 53 54 55 56 57 58 59,
MZMG,marginal zone of the medial geniculate,33–35,33–35,33,35,3,33 34 35,
ns,nigrostriatal bundle,27–33,27–33,27,33,7,27 28 29 30 31 32 33,
Nv,navicular nucleus of the basal forebrain,17–18,17–18,17,18,2,17 18,
Obex,obex,57,57,57,57,1,57,
oc,olivocerebellar tract,50–54,50–54,50,54,5,50 51 52 53 54,
Oca,"octopus cell area, ventral cochlear nucleus",47–49,47–49,47,49,3,47 48 49,
ocb,olivocochlear bundle,46–47,46–47,46,47,2,46 47,
och,optic chiasm,21–25,21–25,21,25,5,21 22 23 24 25,
ON,olfactory nerve layer,1–8,1–8,1,8,8,1 2 3 4 5 6 7 8,
Op,optic nerve layer of the superior colliculus,33–40,33–40,33,40,8,33 34 35 36 37 38 39 40,
OPC,oval paracentral thalamic nucleus,29–31,29–31,29,31,3,29 30 31,
OPT,olivary pretectal nucleus,32–33,32–33,32,33,2,32 33,
opt,optic tract,26–33,26–33,26,33,8,26 27 28 29 30 31 32 33,
Or,oriens layer of the hippocampus,27–36,27–36,27,36,10,27 28 29 30 31 32 33 34 35 36,
OT,nucleus of the optic tract,32–35,32–35,32,35,4,32 33 34 35,
OV,olfactory ventricle (olfactory part of lateral ventricle),1–16,1–16,1,16,16,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16,
p1PAG,p1 periaqueductal gray,32–34,32–34,32,34,3,32 33 34,
p1Rt,p1 reticular formation,32–35,32–35,32,35,4,32 33 34 35,
P5,peritrigeminal zone,43–46,43–46,43,46,4,43 44 45 46,
P7,perifacial zone,48–51,48–51,48,51,4,48 49 50 51,
Pa4,paratrochlear nucleus,40–41,40–41,40,41,2,40 41,
Pa5,paratrigeminal nucleus,54–57,54–57,54,57,4,54 55 56 57,
Pa6,paraabducens nucleus,46–47,46–47,46,47,2,46 47,
PaAP,"paraventricular hypothalamic nucleus, anterior parvicellular part",25–26,25–26,25,26,2,25 26,
PaMM,"paraventricular hypothalamic nucleus, medial magnocellular part",27–28,27–28,27,28,2,27 28,
PaMP,"paraventricular hypothalamic nucleus, medial parvicellular part",27,27,27,27,1,27,
PaPo,"paraventricular hypothalamic nucleus, posterior part",28,28,28,28,1,28,
PaR,pararubral nucleus,35–38,35–38,35,38,4,35 36 37 38,
PaS,parasubiculum,35–42,35–42,35,42,8,35 36 37 38 39 40 41 42,
PaV,"paraventricular hypothalamic nucleus, ventral part",27,27,27,27,1,27,
PaXi,paraxiphoid nucleus of thalamus,27–29,27–29,27,29,3,27 28 29,
PBG,parabigeminal nucleus,38–40,38–40,38,40,3,38 39 40,
PBP,parabrachial pigmented nucleus of the ventral tegmental area,33–37,33–37,33,37,5,33 34 35 36 37,
PC,paracentral thalamic nucleus,27–30,27–30,27,30,4,27 28 29 30,
pc,posterior commissure,32–34,32–34,32,34,3,32 33 34,
PCGS,paracochlear glial substance,46,46,46,46,1,46,
pcn,precentral fissure,43–46,43–46,43,46,4,43 44 45 46,
PCom,nucleus of the posterior commissure,33–34,33–34,33,34,2,33 34,
PCRt,parvicellular reticular nucleus,46–54,46–54,46,54,9,46 47 48 49 50 51 52 53 54,
pcuf,preculminate fissure,43–47,43–47,43,47,5,43 44 45 46 47,
PDR,posterodorsal raphe nucleus,39–42,39–42,39,42,4,39 40 41 42,
PDTg,posterodorsal tegmental nucleus,45,45,45,45,1,45,
Pe,periventricular hypothalamic nucleus,23–30,23–30,23,30,8,23 24 25 26 27 28 29 30,
PeF,perifornical nucleus,29–30,29–30,29,30,2,29 30,
PeFLH,perifornical part of lateral hypothalamus,29–32,29–32,29,32,4,29 30 31 32,
PF,parafascicular thalamic nucleus,31–32,31–32,31,32,2,31 32,
PFl,paraflocculus,43–50,43–50,43,50,8,43 44 45 46 47 48 49 50,
pfs,parafloccular sulcus,44–50,44–50,44,50,7,44 45 46 47 48 49 50,
PH,posterior hypothalamic nucleus,31–32,31–32,31,32,2,31 32,
PHA,posterior hypothalamic area,33,33,33,33,1,33,
PHD,"posterior hypothalamic area, dorsal part",30–31,30–31,30,31,2,30 31,
PIF,parainterfascicular nucleus of the ventral tegmental area,36–37,36–37,36,37,2,36 37,
PIL,posterior intralaminar thalamic nucleus,33–35,33–35,33,35,3,33 34 35,
Pir,piriform cortex,11–33,11–33,11,33,23,11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33,
PL,paralemniscal nucleus,40–42,40–42,40,42,3,40 41 42,
PLCo,posterolateral cortical amygdaloid nucleus,27–29,27–29,27,29,3,27 28 29,
plf,posterolateral fissure,43–55,43–55,43,55,13,43 44 45 46 47 48 49 50 51 52 53 54 55,
PLH,peduncular part of lateral hypothalamus,26–33,26–33,26,33,8,26 27 28 29 30 31 32 33,
PLi,posterior limitans thalamic nucleus,33–35,33–35,33,35,3,33 34 35,
PLV,"perilemniscal nucleus, ventral part",41–43,41–43,41,43,3,41 42 43,
PM,paramedian lobule,49–56,49–56,49,56,8,49 50 51 52 53 54 55 56,
pm,principal mammillary tract,33–34,33–34,33,34,2,33 34,
PMCo,posteromedial cortical amygdaloid nucleus,29–33,29–33,29,33,5,29 30 31 32 33,
PMD,"premammillary nucleus, dorsal part",33,33,33,33,1,33,
PMnR,paramedian raphe nucleus,39–42,39–42,39,42,4,39 40 41 42,
pms,paramedian sulcus,50–55,50–55,50,55,6,50 51 52 53 54 55,
PMV,"premammillary nucleus, ventral part",32–33,32–33,32,33,2,32 33,
PN,paranigral nucleus of the ventral tegmental area,36–37,36–37,36,37,2,36 37,
Pn,pontine nuclei,39–42,39–42,39,42,4,39 40 41 42,
PnC,"pontine reticular nucleus, caudal part",44–47,44–47,44,47,4,44 45 46 47,
PnO,"pontine reticular nucleus, oral part",39–43,39–43,39,43,5,39 40 41 42 43,
PnR,pontine raphe nucleus,43,43,43,43,1,43,
PnV,"pontine reticular nucleus, ventral part",45–47,45–47,45,47,3,45 46 47,
Po,posterior thalamic nuclear group,28–33,28–33,28,33,6,28 29 30 31 32 33,
PoDG,polymorph layer of the dentate gyrus,28–35,28–35,28,35,8,28 29 30 31 32 33 34 35,
PoMn,posteromedian thalamic nucleus,31,31,31,31,1,31,
Post,postsubiculum,35–40,35–40,35,40,6,35 36 37 38 39 40,
PoT,"posterior thalamic nuclear group, triangular part",33–35,33–35,33,35,3,33 34 35,
PP,peripeduncular nucleus,33–35,33–35,33,35,3,33 34 35,
ppf,prepyramidal fissure,51–56,51–56,51,56,6,51 52 53 54 55 56,
PPT,posterior pretectal nucleus,33–35,33–35,33,35,3,33 34 35,
PPy,parapyramidal nucleus,49–50,49–50,49,50,2,49 50,
PR,prerubral field,31–34,31–34,31,34,4,31 32 33 34,
Pr,prepositus nucleus,47–53,47–53,47,53,7,47 48 49 50 51 52 53,
Pr5DM,"principal sensory trigeminal nucleus, dorsomedial part",44–47,44–47,44,47,4,44 45 46 47,
Pr5VL,"principal sensory trigeminal nucleus, ventrolateral part",43–47,43–47,43,47,5,43 44 45 46 47,
PrC,precommissural nucleus,31–33,31–33,31,33,3,31 32 33,
PrCnF,precuneiform area,38–41,38–41,38,41,4,38 39 40 41,
PrEW,pre-Edinger–Westphal nucleus,34–35,34–35,34,35,2,34 35,
prf,primary fissure,43–50,43–50,43,50,8,43 44 45 46 47 48 49 50,
PRh,perirhinal cortex,28–42,28–42,28,42,15,28 29 30 31 32 33 34 35 36 37 38 39 40 41 42,
PrL,prelimbic cortex,9–18,9–18,9,18,10,9 10 11 12 13 14 15 16 17 18,
PrS,presubiculum,35–38,35–38,35,38,4,35 36 37 38,
PS,parastrial nucleus,23–24,23–24,23,24,2,23 24,
psf,posterior superior fissure,43–54,43–54,43,54,12,43 44 45 46 47 48 49 50 51 52 53 54,
PSol,parasolitary nucleus,54–55,54–55,54,55,2,54 55,
PSTh,parasubthalamic nucleus,32,32,32,32,1,32,
PT,paratenial thalamic nucleus,25–27,25–27,25,27,3,25 26 27,
Pta,pericollicular tegmental area,39–43,39–43,39,43,5,39 40 41 42 43,
PTe,paraterete nucleus,29–30,29–30,29,30,2,29 30,
PTg,pedunculopontine tegmental nucleus,38–42,38–42,38,42,5,38 39 40 41 42,
PtP,"parietal cortex, posterior area",28–31,28–31,28,31,4,28 29 30 31,
PV,paraventricular thalamic nucleus,27–28,27–28,27,28,2,27 28,
PVA,"paraventricular thalamic nucleus, anterior part",25–26,25–26,25,26,2,25 26,
PVP,"paraventricular thalamic nucleus, posterior part",29–31,29–31,29,31,3,29 30 31,
Py,pyramidal cell layer of the hippocampus,27–36,27–36,27,36,10,27 28 29 30 31 32 33 34 35 36,
py,pyramidal tract,43–58,43–58,43,58,16,43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58,
pyx,pyramidal decussation,57–62,57–62,57,62,6,57 58 59 60 61 62,
Rad,radiatum layer of the hippocampus,28–36,28–36,28,36,9,28 29 30 31 32 33 34 35 36,
RAmb,retroambiguus nucleus,56–58,56–58,56,58,3,56 57 58,
RAPir,rostral amygdalopiriform area,28–30,28–30,28,30,3,28 29 30,
Rbd,rhabdoid nucleus,39,39,39,39,1,39,
RCh,retrochiasmatic area,27–28,27–28,27,28,2,27 28,
RChL,"retrochiasmatic area, lateral part",27,27,27,27,1,27,
Re,reuniens thalamic nucleus,26–30,26–30,26,30,5,26 27 28 29 30,
REth,retroethmoid nucleus,33,33,33,33,1,33,
rf,rhinal fissure,7–41,7–41,7,41,35,7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41,
Rh,rhomboid thalamic nucleus,27–30,27–30,27,30,4,27 28 29 30,
RI,rostral interstitial nucleus of medial longitudinal fasciculus,32–33,32–33,32,33,2,32 33,
ri,rhinal incisure,7–12,7–12,7,12,6,7 8 9 10 11 12,
RIP,raphe interpositus nucleus,46–48,46–48,46,48,3,46 47 48,
RLi,rostral linear nucleus of the raphe,35–35,35–35,35,36,2,35 36,"printed with a dash and no second plate; read as 35-36, the abbreviation being printed on plate 36 too"
RMC,"red nucleus, magnocellular part",35–38,35–38,35,38,4,35 36 37 38,
RMg,raphe magnus nucleus,44–51,44–51,44,51,8,44 45 46 47 48 49 50 51,
Ro,nucleus of Roller,52–56,52–56,52,56,5,52 53 54 55 56,
ROb,raphe obscurus nucleus,50–58,50–58,50,58,9,50 51 52 53 54 55 56 57 58,
RPa,raphe pallidus nucleus,43–58,43–58,43,58,16,43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58,
RPC,"red nucleus, parvicellular part",35–36,35–36,35,36,2,35 36,
RPO,rostral periolivary nucleus,44,44,44,44,1,44,
RR,retrorubral nucleus,39–40,39–40,39,40,2,39 40,
RRe,retrouniens area,31,31,31,31,1,31,
RRF,retrorubral field,37–39,37–39,37,39,3,37 38 39,
rs,rubrospinal tract,41–62,41–62,41,62,22,41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62,
RSD,retrosplenial dysgranular cortex,27–42,27–42,27,42,16,27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42,
RSG,retrosplenial granular cortex,40,40,40,40,1,40,
RSGa,"retrosplenial granular cortex, a region",35–39,35–39,35,39,5,35 36 37 38 39,
RSGb,"retrosplenial granular cortex, b region",32–39,32–39,32,39,8,32 33 34 35 36 37 38 39,
RSGc,"retrosplenial granular cortex, c region",27–36,27–36,27,36,10,27 28 29 30 31 32 33 34 35 36,
Rt,reticular thalamic nucleus,26–30,26–30,26,30,5,26 27 28 29 30,
RtSt,reticluostrial nucleus,26,26,26,26,1,26,
RtTg,reticulotegmental nucleus of the pons,41–45,41–45,41,45,5,41 42 43 44 45,
RtTgP,"reticulotegmental nucleus of the pons, pericentral part",41–42,41–42,41,42,2,41 42,
RVRG,rostral ventral respiratory group,53,53,53,53,1,53,
S1,primary somatosensory cortex,24–30,24–30,24,30,7,24 25 26 27 28 29 30,
S1BF,"primary somatosensory cortex, barrel field",20–28,20–28,20,28,9,20 21 22 23 24 25 26 27 28,
S1DZ,"primary somatosensory cortex, dysgranular zone",16–28,16–28,16,28,13,16 17 18 19 20 21 22 23 24 25 26 27 28,
S1DZO,"primary somatosensory cortex, oral dysgranular zone",18–19,18–19,18,19,2,18 19,
S1FL,"primary somatosensory cortex, forelimb region",15–24,15–24,15,24,10,15 16 17 18 19 20 21 22 23 24,
S1HL,"primary somatosensory cortex, hindlimb region",20–26,20–26,20,26,7,20 21 22 23 24 25 26,
S1J,"primary somatosensory cortex, jaw region",13–20,13–20,13,20,8,13 14 15 16 17 18 19 20,
S1Sh,"primary somatosensory cortex, shoulder region",25–26,25–26,25,26,2,25 26,
S1Tr,"primary somatosensory cortex, trunk region",27–28,27–28,27,28,2,27 28,
S1ULp,"primary somatosensory cortex, upper lip region",18–28,18–28,18,28,11,18 19 20 21 22 23 24 25 26 27 28,
S2,secondary somatosensory cortex,18–28,18–28,18,28,11,18 19 20 21 22 23 24 25 26 27 28,
s5,sensory root of the trigeminal nerve,42–47,42–47,42,47,6,42 43 44 45 46 47,
Sag,sagulum nucleus,41–43,41–43,41,43,3,41 42 43,
Sc,scaphoid thalamic nucleus,32,32,32,32,1,32,
Sca,"spherical cell area, ventral cochlear nucleus",43–46,43–46,43,46,4,43 44 45 46,
scc,splenium of the corpus callosum,31–33,31–33,31,33,3,31 32 33,
SCh,suprachiasmatic nucleus,25,25,25,25,1,25,
SChDL,"suprachiasmatic nucleus, dorsolateral part",26,26,26,26,1,26,
SChVM,"suprachiasmatic nucleus, ventromedial part",26,26,26,26,1,26,
SCO,subcommissural organ,32–34,32–34,32,34,3,32 33 34,
scp,superior cerebellar peduncle,41–49,41–49,41,49,9,41 42 43 44 45 46 47 48 49,
sf,secondary fissure,53–58,53–58,53,58,6,53 54 55 56 57 58,
SFi,septofimbrial nucleus,22–25,22–25,22,25,4,22 23 24 25,
SFO,subfornical organ,25,25,25,25,1,25,
SG,suprageniculate thalamic nucleus,33–36,33–36,33,36,4,33 34 35 36,
SGe,supragenual nucleus,46,46,46,46,1,46,
SHi,septohippocampal nucleus,18–25,18–25,18,25,8,18 19 20 21 22 23 24 25,
SIB,"substantia innominata, basal part",21–24,21–24,21,24,4,21 22 23 24,
Sim,simple lobule,43–49,43–49,43,49,7,43 44 45 46 47 48 49,
simf,simplex fissure,47–49,47–49,47,49,3,47 48 49,
SLu,stratum lucidum of the hippocampus,28–33,28–33,28,33,6,28 29 30 31 32 33,
sm,stria medullaris of the thalamus,25–30,25–30,25,30,6,25 26 27 28 29 30,
SMV,superior medullary velum,45–47,45–47,45,47,3,45 46 47,
SNC,"substantia nigra, compact part",33–38,33–38,33,38,6,33 34 35 36 37 38,
SNR,"substantia nigra, reticular part",33–38,33–38,33,38,6,33 34 35 36 37 38,
SO,supraoptic nucleus,23–27,23–27,23,27,5,23 24 25 26 27,
Sol,nucleus of the solitary tract,49–50,49–50,49,50,2,49 50,
sol,solitary tract,50–57,50–57,50,57,8,50 51 52 53 54 55 56 57,
SolC,"nucleus of the solitary tract, commissural part",55–62,55–62,55,62,8,55 56 57 58 59 60 61 62,
SolDL,"solitary nucleus, dorsolateral part",55–57,55–57,55,57,3,55 56 57,
SolM,"nucleus of the solitary tract, medial part",55–59,55–59,55,59,5,55 56 57 58 59,
SolV,"solitary nucleus, ventral part",55–57,55–57,55,57,3,55 56 57,
SolVL,"nucleus of the solitary tract, ventrolateral part",55–57,55–57,55,57,3,55 56 57,
sox,supraoptic decussation,26–32,26–32,26,32,7,26 27 28 29 30 31 32,
sp5,spinal trigeminal tract,48–62,48–62,48,62,15,48 49 50 51 52 53 54 55 56 57 58 59 60 61 62,
Sp5C,"spinal trigeminal nucleus, caudal part",55–62,55–62,55,62,8,55 56 57 58 59 60 61 62,
Sp5I,"spinal trigeminal nucleus, interpolar part",49–56,49–56,49,56,8,49 50 51 52 53 54 55 56,
Sp5O,"spinal trigeminal nucleus, oral part",48–51,48–51,48,51,4,48 49 50 51,
SPa,subparaventricular zone of the hypothalamus,27–28,27–28,27,28,2,27 28,
SPF,subparafascicular thalamic nucleus,31,31,31,31,1,31,
SPFPC,"subparafascicular thalamic nucleus, parvicellular part",31–32,31–32,31,32,2,31 32,
SPN,superior periolivary nucleus,44–47,44–47,44,47,4,44 45 46 47,
SPTg,subpeduncular tegmental nucleus,40–42,40–42,40,42,3,40 41 42,
SpVe,spinal vestibular nucleus,48–53,48–53,48,53,6,48 49 50 51 52 53,
ST,bed nucleus of the stria terminalis,22,22,22,22,1,22,
st,stria terminalis,23–31,23–31,23,31,9,23 24 25 26 27 28 29 30 31,
StA,strial part of the preoptic area,23,23,23,23,1,23,
STh,subthalamic nucleus,30–32,30–32,30,32,3,30 31 32,
STIA,"bed nucleus of the stria terminalis, intraamygdaloid division",28–29,28–29,28,29,2,28 29,
STLI,"bed nucleus of the stria terminalis, lateral division, intermediate part",24,24,24,24,1,24,
STLP,"bed nucleus of the stria terminalis, lateral division, posterior part",23–24,23–24,23,24,2,23 24,
STLV,"bed nucleus of the stria terminalis, lateral division, ventral part",23–24,23–24,23,24,2,23 24,
STMA,"bed nucleus of the stria terminalis, medial division, anterior part",23–24,23–24,23,24,2,23 24,
STMP,"bed nucleus of the stria terminalis, medial division, posterior part",25–26,25–26,25,26,2,25 26,
STMV,"bed nucleus of the stria terminalis, medial division, ventral part",23–24,23–24,23,24,2,23 24,
STr,"subiculum, transition area",37–38,37–38,37,38,2,37 38,
str,superior thalamic radiation,31–32,31–32,31,32,2,31 32,
Su3,supraoculomotor periaqueductal gray,36–39,36–39,36,39,4,36 37 38 39,
Su3C,supraoculomotor cap,36–36,36–36,36,37,2,36 37,"printed with a dash and no second plate; read as 36-37, the abbreviation being printed on plate 37 too"
Su5,supratrigeminal nucleus,43–45,43–45,43,45,3,43 44 45,
Sub,submedius thalamic nucleus,30,30,30,30,1,30,
SubB,subbrachial nucleus,36–38,36–38,36,38,3,36 37 38,
SubCA,"subcoeruleus nucleus, alpha part",44,44,44,44,1,44,
SubCD,"subcoeruleus nucleus, dorsal part",43–45,43–45,43,45,3,43 44 45,
SubCV,"subcoeruleus nucleus, ventral part",43–45,43–45,43,45,3,43 44 45,
SubD,"submedius thalamic nucleus, dorsal part",28–29,28–29,28,29,2,28 29,
SubG,subgeniculate nucleus,31–32,31–32,31,32,2,31 32,
SubI,subincertal nucleus,29–30,29–30,29,30,2,29 30,
SubV,"submedius thalamic nucleus, ventral part",28–29,28–29,28,29,2,28 29,
SuG,superficial gray layer of the superior colliculus,33–41,33–41,33,41,9,33 34 35 36 37 38 39 40 41,
SuML,"supramammillary nucleus, lateral part",33–34,33–34,33,34,2,33 34,
SuMM,"supramammillary nucleus, medial part",33–34,33–34,33,34,2,33 34,
sumx,supramammillary decussation,34,34,34,34,1,34,
SuVe,superior vestibular nucleus,46–47,46–47,46,47,2,46 47,
Te,terete hypothalamic nucleus,31,31,31,31,1,31,
TeA,temporal association cortex,37–39,37–39,37,39,3,37 38 39,
tfp,transverse fibers of the pons,39,39,39,39,1,39,
TG,tectal gray,33–35,33–35,33,35,3,33 34 35,
TS,triangular septal nucleus,24–25,24–25,24,25,2,24 25,
ts,tectospinal tract,39–62,39–62,39,62,24,39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62,
tth,trigeminothalamic tract,43–45,43–45,43,45,3,43 44 45,
Tu,olfactory tubercle,16–23,16–23,16,23,8,16 17 18 19 20 21 22 23,
TuLH,tuberal region of lateral hypothalamus,27–31,27–31,27,31,5,27 28 29 30 31,
tz,trapezoid body,43–49,43–49,43,49,7,43 44 45 46 47 48 49,
tzx,decussation of the trapezoid body,44–47,44–47,44,47,4,44 45 46 47,
uf,uvular fissure,56–59,56–59,56,59,4,56 57 58 59,
V1,primary visual cortex,31–42,31–42,31,42,12,31 32 33 34 35 36 37 38 39 40 41 42,
V1B,"primary visual cortex, binocular area",32–39,32–39,32,39,8,32 33 34 35 36 37 38 39,
V1M,"primary visual cortex, monocular area",32–39,32–39,32,39,8,32 33 34 35 36 37 38 39,
V2L,"secondary visual cortex, lateral area",31–41,31–41,31,41,11,31 32 33 34 35 36 37 38 39 40 41,
V2M,"secondary visual cortex, medial area",31–40,31–40,31,40,10,31 32 33 34 35 36 37 38 39 40,
VA,ventral anterior thalamic nucleus,27,27,27,27,1,27,
VCA,"ventral cochlear nucleus, anterior part",43–47,43–47,43,47,5,43 44 45 46 47,
VCl,ventral part of claustrum,16–26,16–26,16,26,11,16 17 18 19 20 21 22 23 24 25 26,
VCP,"ventral cochlear nucleus, posterior part",47–49,47–49,47,49,3,47 48 49,
VDB,nucleus of the vertical limb of the diagonal band,19–21,19–21,19,21,3,19 20 21,
VeCb,vestibulocerebellar nucleus,46–49,46–49,46,49,4,46 47 48 49,
veme,vestibulomesencephalic tract,46–48,46–48,46,48,3,46 47 48,
VEn,ventral endopiriform nucleus,24–29,24–29,24,29,6,24 25 26 27 28 29,
vesp,vestibulospinal tract,49,49,49,49,1,49,
VG,ventral geniculate nucleus,29–34,29–34,29,34,6,29 30 31 32 33 34,
VGMC,"ventral geniculate nucleus, magnocellular part",31–32,31–32,31,32,2,31 32,
VGPC,"ventral geniculate nucleus, parvicellular part",31–32,31–32,31,32,2,31 32,
vhc,ventral hippocampal commissure,25–27,25–27,25,27,3,25 26 27,
VL,ventrolateral thalamic nucleus,27–30,27–30,27,30,4,27 28 29 30,
VLH,ventrolateral hypothalamic nucleus,27,27,27,27,1,27,
vlh,ventrolateral hypothalamic tract,27,27,27,27,1,27,
VLi,ventral linear nucleus of the thalamus,33,33,33,33,1,33,
VLPAG,ventrolateral periaqueductal gray,37–42,37–42,37,42,6,37 38 39 40 41 42,
VLPO,ventrolateral preoptic nucleus,23–24,23–24,23,24,2,23 24,
VM,ventromedial thalamic nucleus,27–30,27–30,27,30,4,27 28 29 30,
VMH,ventromedial hypothalamic nucleus,28–31,28–31,28,31,4,28 29 30 31,
VMHC,"ventromedial hypothalamic nucleus, central part",29–30,29–30,29,30,2,29 30,
VMHDM,"ventromedial hypothalamic nucleus, dorsomedial part",29–30,29–30,29,30,2,29 30,
VMHSh,ventromedial nucleus of the hypothalamus shell,28–31,28–31,28,31,4,28 29 30 31,
VMHVL,"ventromedial hypothalamic nucleus, ventrolateral part",29–30,29–30,29,30,2,29 30,"the name drops out of the Index of structures text layer as ""venalamic nucleus""; the Index of abbreviations sets it in full"
VMPO,ventromedial preoptic nucleus,23–24,23–24,23,24,2,23 24,
VNLL,ventral nucleus of the lateral lemniscus,40,40,40,40,1,40,
VNTB,ventral nucleus of the trapezoid body,43–47,43–47,43,47,5,43 44 45 46 47,
VO,ventral orbital cortex,9–16,9–16,9,16,8,9 10 11 12 13 14 15 16,
VP,ventral pallidum,16–25,16–25,16,25,10,16 17 18 19 20 21 22 23 24 25,
VPL,ventral posterolateral thalamic nucleus,28–31,28–31,28,31,4,28 29 30 31,
VPM,ventral posteromedial thalamic nucleus,28–32,28–32,28,32,5,28 29 30 31 32,
VPPC,"ventral posterior nucleus of the thalamus, parvicellular part",31,31,31,31,1,31,
VRe,ventral reuniens thalamic nucleus,27–30,27–30,27,30,4,27 28 29 30,
VS,ventral subiculum,31–36,31–36,31,36,6,31 32 33 34 35 36,
vsc,ventral spinocerebellar tract,43–62,43–62,43,62,20,43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62,
VTA,ventral tegmental area,37–38,37–38,37,38,2,37 38,
VTAR,"ventral tegmental area, rostral part",34–35,34–35,34,35,2,34 35,
VTg,ventral tegmental nucleus,42,42,42,42,1,42,
vtgx,ventral tegmental decussation,35–37,35–37,35,37,3,35 36 37,
VTM,ventral tuberomammillary nucleus,33–34,33–34,33,34,2,33 34,
VTT,ventral tenia tecta,11–16,11–16,11,16,6,11 12 13 14 15 16,
vVNLL,"ventral nucleus of the lateral lemniscus, ventral part",41–43,41–43,41,43,3,41 42 43,
X,nucleus X,48–52,48–52,48,52,5,48 49 50 51 52,
Xi,xiphoid thalamic nucleus,27–28,27–28,27,28,2,27 28,
xscp,decussation of the superior cerebellar peduncle,39–41,39–41,39,41,3,39 40 41,
Y,nucleus Y,48,48,48,48,1,48,
ZI,zona incerta,28–29,28–29,28,29,2,28 29,
