abbreviation,structure,plates_index_of_structures,plates_index_of_abbreviations,first_plate,last_plate,n_plates,plates,note
DTgP,"dorsal tegmental nucleus, pericentral part",43,43,43,43,1,43,
dtgx,dorsal tegmental decussation,36–37,36–37,36,37,2,36 37,
Dtr,dorsal transition zone,12–15,12–15,12,15,4,12 13 14 15,
DTT,dorsal tenia tecta,11–18,11–18,11,18,8,11 12 13 14 15 16 17 18,
dVNLL,"ventral nucleus of the lateral lemniscus, dorsal part",41–42,41–42,41,42,2,41 42,
E,ependyma and subependymal layer,1–23,1–23,1,23,23,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,
EA,sublenticular extended amygdala,26,26,26,26,1,26,
EAC,"sublenticular extended amygdala, central part",25,25,25,25,1,25,
ec,external capsule,19–30,19–30,19,30,12,19 20 21 22 23 24 25 26 27 28 29 30,
ECIC,external cortex of the inferior colliculus,38–44,38–44,38,44,7,38 39 40 41 42 43 44,
Ect,ectorhinal cortex,28–42,28–42,28,42,15,28 29 30 31 32 33 34 35 36 37 38 39 40 41 42,
ECu,external cuneate nucleus,52–56,52–56,52,56,5,52 53 54 55 56,
eml,external medullary lamina,28–30,28–30,28,30,3,28 29 30,
Ent,entorhinal cortex,42,42,42,42,1,42,
EP,entopeduncular nucleus,27–28,27–28,27,28,2,27 28,
EPl,external plexiform layer of the olfactory bulb,1–9,1–9,1,9,9,1 2 3 4 5 6 7 8 9,
EPlA,external plexiform layer of the accessory olfactory bulb,5–9,5–9,5,9,5,5 6 7 8 9,
Eth,ethmoid thalamic nucleus,32,32,32,32,1,32,
EVe,nucleus of origin of efferents of the vestibular nerve,47,47,47,47,1,47,
EW,Edinger–Westphal nucleus,36–38,36–38,36,38,3,36 37 38,
F,nucleus of the fields of Forel,32–34,32–34,32,34,3,32 33 34,
f,fornix,23–32,23–32,23,32,10,23 24 25 26 27 28 29 30 31 32,
FC,fasciola cinereum,29–33,29–33,29,33,5,29 30 31 32 33,
fi,fimbria of the hippocampus,22–30,22–30,22,30,9,22 23 24 25 26 27 28 29 30,
Fl,flocculus,43–48,43–48,43,48,6,43 44 45 46 47 48,
fmi,forceps minor of the corpus callosum,13–18,13–18,13,18,6,13 14 15 16 17 18,
